
@RELATION dataset
 
@ATTRIBUTE m1 REAL
@ATTRIBUTE m2 REAL
@ATTRIBUTE m3 REAL
@ATTRIBUTE m4 REAL
@ATTRIBUTE m5 REAL
@ATTRIBUTE m6 REAL
@ATTRIBUTE m7 REAL
@ATTRIBUTE m8 REAL
@ATTRIBUTE m9 REAL
@ATTRIBUTE m10 REAL
@ATTRIBUTE m11 REAL
@ATTRIBUTE m12 REAL
@ATTRIBUTE m13 REAL
@ATTRIBUTE m14 REAL
@ATTRIBUTE m15 REAL
@ATTRIBUTE m16 REAL
@ATTRIBUTE m17 REAL
@ATTRIBUTE m18 REAL
@ATTRIBUTE m19 REAL
@ATTRIBUTE m20 REAL
@ATTRIBUTE m21 REAL
@ATTRIBUTE m22 REAL
@ATTRIBUTE m23 REAL
@ATTRIBUTE m24 REAL
@ATTRIBUTE m25 REAL
@ATTRIBUTE m26 REAL
@ATTRIBUTE m27 REAL
@ATTRIBUTE m28 REAL
@ATTRIBUTE m29 REAL
@ATTRIBUTE m30 REAL
@ATTRIBUTE m31 REAL
@ATTRIBUTE m32 REAL
@ATTRIBUTE m33 REAL
@ATTRIBUTE m34 REAL
@ATTRIBUTE m35 REAL
@ATTRIBUTE m36 REAL
@ATTRIBUTE m37 REAL
@ATTRIBUTE m38 REAL
@ATTRIBUTE m39 REAL
@ATTRIBUTE m40 REAL
@ATTRIBUTE m41 REAL
@ATTRIBUTE m42 REAL
@ATTRIBUTE m43 REAL
@ATTRIBUTE m44 REAL
@ATTRIBUTE m45 REAL
@ATTRIBUTE m46 REAL
@ATTRIBUTE m47 REAL
@ATTRIBUTE m48 REAL
@ATTRIBUTE m49 REAL
@ATTRIBUTE m50 REAL
@ATTRIBUTE m51 REAL
@ATTRIBUTE m52 REAL
@ATTRIBUTE m53 REAL
@ATTRIBUTE m54 REAL
@ATTRIBUTE m55 REAL
@ATTRIBUTE m56 REAL
@ATTRIBUTE m57 REAL
@ATTRIBUTE m58 REAL
@ATTRIBUTE m59 REAL
@ATTRIBUTE m60 REAL
@ATTRIBUTE m61 REAL
@ATTRIBUTE m62 REAL
@ATTRIBUTE m63 REAL
@ATTRIBUTE m64 REAL
@ATTRIBUTE m65 REAL
@ATTRIBUTE m66 REAL
@ATTRIBUTE m67 REAL
@ATTRIBUTE m68 REAL
@ATTRIBUTE m69 REAL
@ATTRIBUTE m70 REAL
@ATTRIBUTE m71 REAL
@ATTRIBUTE m72 REAL
@ATTRIBUTE m73 REAL
@ATTRIBUTE m74 REAL
@ATTRIBUTE m75 REAL
@ATTRIBUTE m76 REAL
@ATTRIBUTE m77 REAL
@ATTRIBUTE m78 REAL
@ATTRIBUTE m79 REAL
@ATTRIBUTE m80 REAL
@ATTRIBUTE m81 REAL
@ATTRIBUTE m82 REAL
@ATTRIBUTE m83 REAL
@ATTRIBUTE m84 REAL
@ATTRIBUTE m85 REAL
@ATTRIBUTE m86 REAL
@ATTRIBUTE m87 REAL
@ATTRIBUTE m88 REAL
@ATTRIBUTE m89 REAL
@ATTRIBUTE m90 REAL
@ATTRIBUTE m91 REAL
@ATTRIBUTE m92 REAL
@ATTRIBUTE m93 REAL
@ATTRIBUTE m94 REAL
@ATTRIBUTE m95 REAL
@ATTRIBUTE m96 REAL
@ATTRIBUTE m97 REAL
@ATTRIBUTE m98 REAL
@ATTRIBUTE m99 REAL
@ATTRIBUTE m100 REAL
@ATTRIBUTE class {Elk,Deer,Cattle}
 
@DATA


0.0221,0.02776,0.04466,0.04635,0.06317,0.03272,0.03432,0.01836,0.05403,0.03368,0.06294,0.02431,0.02443,0.00196,0.05128,0.04635,0.04163,0.02623,0.05034,0.07135,0.01061,0.01892,0.02639,0.03582,0.03776,0.03739,0.00467,0.03928,0.03324,0.0589,0.01481,0.01775,0.03709,0.02289,0.03518,0.04481,0.04671,0.04867,0.04252,0.02896,0.02595,0.03975,0.03416,0.00985,0.01958,0.05814,0.01797,0.0372,0.05401,0.04341,0.04831,0.04903,0.0183,0.04172,0.0427,0.05153,0.0235,0.02008,0.03978,0.01839,0.02466,0.04142,0.00481,0.03786,0.04085,0.06895,0.0451,0.04301,0.04928,0.00929,0.04513,0.01371,0.06456,0.04937,0.01068,0.04091,0.03288,0.0707,0.03343,0.01321,0,0.03263,0.05297,0.0271,0.03515,0.02821,0.04834,0.02789,0.02691,0.04201,0.02718,0.0444,0.06605,0.06222,0.0508,0.03936,0.03347,0.01458,0.03541,0.02598,Deer
0.04683,0.0593,0.00797,0.00658,0.03438,0.04041,0.02561,0.01182,0.02679,0.06833,0.03539,0.05715,0.02769,0.01762,0.02095,0.00658,0.01892,0.02824,0.01989,0.04206,0.02592,0.00429,0.05665,0.01102,0.04905,0.03153,0.01905,0.01196,0.0682,0.03095,0.00034,0.05066,0.01059,0.05586,0.00909,0.06271,0.01889,0.02245,0.00839,0.00898,0.01968,0.00987,0.06879,0.03927,0.04266,0.02953,0.01521,0.00784,0.02348,0.01636,0.01797,0.02218,0.03926,0.01387,0.0144,0.02379,0.0299,0.03429,0.00993,0.01432,0.05078,0.01147,0.02904,0.03516,0.03334,0.04249,0.0387,0.01471,0.02061,0.03159,0.01499,0.04859,0.03637,0.02639,0.03403,0.0115,0.0657,0.0424,0.02326,0.04187,0.03451,0.0068,0.02225,0.02897,0.03662,0.02275,0.01886,0.01509,0.00315,0.01317,0.04673,0.0145,0.03887,0.03334,0.02161,0.00985,0.00389,0.02331,0.00621,0.02748,Deer
0.059,0.06921,0.0167,0.0193,0.00719,0.06055,0.01056,0.02035,0,0.0757,0.00838,0.06561,0.04694,0.026,0.00455,0.0193,0.00327,0.01391,0.00546,0.00739,0.02403,0.00047,0.0676,0.00193,0.069,0.05321,0.02849,0.00718,0.07514,0.00578,0.00216,0.05902,0.00319,0.06426,0.0051,0.08129,0.00416,0.0074,0.00984,0.00267,0.0077,0.00654,0.07613,0.0464,0.05619,0.00615,0.0066,0.00593,0.0057,0.00536,0.00452,0.00383,0.05265,0.00521,0.0043,0.00495,0.04865,0.04882,0.00708,0.03093,0.06314,0.00437,0.03547,0.05685,0.05579,0.01215,0.06151,0.00528,0.00589,0.04068,0.00456,0.05516,0.00917,0.00293,0.04504,0.00569,0.07443,0.00629,0.01025,0.05278,0.03587,0.00162,0.00459,0.04906,0.05804,0.04124,0.00516,0.03453,0.0036,0.01919,0.06206,0.00389,0.01026,0.00649,0.00445,0.01803,0.01902,0.03439,0.01705,0.04727,Elk
0.01066,0.01522,0.00891,0.0097,0.03244,0.01566,0.01802,0.01486,0.02564,0.02312,0.03512,0.01357,0.00513,0.00081,0.01968,0.0097,0.01953,0.02085,0.01938,0.04,0.01828,0.0062,0.01159,0.01192,0.02125,0.00867,0.00196,0.00958,0.02352,0.0286,0.00081,0.00887,0.01067,0.01124,0.00893,0.02537,0.01581,0.01882,0.00919,0.00775,0.01341,0.01051,0.02352,0.01259,0.00793,0.02761,0.01044,0.00827,0.02307,0.01454,0.01691,0.01898,0.01088,0.01184,0.01317,0.02331,0.00485,0.00363,0.01023,0.00516,0.00774,0.01017,0.00807,0.01236,0.00511,0.03934,0.01002,0.01251,0.01844,0.01016,0.01447,0.01219,0.03435,0.02911,0.00969,0.01051,0.01963,0.03986,0.01801,0.00643,0.01389,0.00915,0.02158,0.00545,0.0126,0.01079,0.01739,0.00529,0.004,0.01217,0.01199,0.01323,0.03631,0.03134,0.01948,0.01265,0.00408,0.0096,0.0045,0.00503,Elk
0.00745,0.00349,0.05251,0.05262,0.08298,0.0127,0.06203,0.03625,0.07427,0.00473,0.08356,0.00853,0.01625,0.0074,0.06748,0.05262,0.05873,0.05602,0.06588,0.08992,0.038,0.03245,0.00541,0.05613,0.01517,0.02566,0.00515,0.05675,0.00565,0.07922,0.02669,0.01438,0.05398,0.0108,0.05627,0.00825,0.06535,0.07006,0.05389,0.05092,0.05155,0.05571,0.00535,0.01704,0.00598,0.07642,0.04713,0.0521,0.07134,0.06289,0.06555,0.0676,0.00347,0.06058,0.05919,0.07047,0.01411,0.00252,0.05577,0.0189,0.00381,0.05571,0.02361,0.02177,0.02441,0.0905,0.02537,0.062,0.06797,0.01654,0.06146,0.01889,0.08505,0.07227,0.0114,0.0576,0,0.08939,0.06064,0.01192,0.02976,0.05008,0.07025,0.01657,0.01686,0.0245,0.06699,0.02888,0.04567,0.05051,0.00121,0.06106,0.08749,0.08182,0.06935,0.0506,0.03732,0.02314,0.04041,0.01746,Elk
0.01102,0.02426,0.0116,0.00969,0.04889,0,0.03689,0.01302,0.04025,0.03284,0.05005,0.02248,0.00958,0.00572,0.03226,0.00969,0.02476,0.03475,0.03085,0.05422,0.02576,0.01234,0.01986,0.02597,0.00865,0.00625,0.00351,0.02446,0.0335,0.04658,0.00783,0.01825,0.02158,0.0213,0.02533,0.01357,0.03313,0.0392,0.01581,0.02285,0.02737,0.02331,0.03331,0.01862,0.02016,0.04061,0.02459,0.01678,0.03738,0.03267,0.03264,0.03265,0.00569,0.02955,0.02406,0.03603,0.00769,0.00553,0.02348,0.00397,0.01729,0.02009,0.02262,0,0.01056,0.05675,0.01089,0.03076,0.03616,0.01731,0.02891,0.02111,0.05192,0.04168,0.01191,0.02566,0.02866,0.05378,0.03523,0.01328,0.02856,0.02042,0.0361,0.00663,0.00755,0.01501,0.03509,0.01451,0.01686,0.01829,0.00919,0.02875,0.05492,0.04769,0.03674,0.01923,0.00393,0.01549,0.00369,0.00877,Elk
0.03316,0.04721,0.00685,0.00742,0.01019,0.03005,0.02687,0.01266,0.00744,0.05582,0.0145,0.04425,0.01669,0.01453,0.00737,0.00742,0.00386,0.03168,0.00575,0.01638,0.02547,0.00151,0.04452,0.00527,0.03878,0.02478,0.01598,0.0069,0.05576,0.00905,0.00101,0.0383,0.00398,0.04338,0.00971,0.05189,0.00679,0.01036,0.00525,0.00692,0.02325,0.00631,0.05628,0.0281,0.03903,0.00602,0.02265,0.00406,0.00631,0.01268,0.00669,0.0037,0.02593,0.01005,0.00434,0.00489,0.01847,0.02982,0.00642,0.00534,0.0413,0.00681,0.01992,0.02813,0.02766,0.01847,0.03394,0.00901,0.00816,0.02101,0.005,0.03706,0.01321,0.00991,0.02132,0.0056,0.05253,0.01648,0.02507,0.03231,0.02912,0.00283,0.00558,0.01939,0.029,0.01494,0.00691,0.0066,0.00434,0.01209,0.03395,0.00483,0.01661,0.00915,0.00575,0.01031,0.00512,0.01363,0.00821,0.01779,Elk
0.00533,0.00383,0.05043,0.05085,0.08029,0.01255,0.05908,0.03323,0.07193,0.00416,0.08122,0.0018,0.01536,0.00306,0.06489,0.05085,0.05761,0.05303,0.06345,0.08742,0.03506,0.03153,0.00539,0.05451,0.01423,0.02561,0.00096,0.0541,0.00541,0.0765,0.02577,0.00602,0.05203,0.00582,0.05401,0.00839,0.06258,0.06719,0.05156,0.04943,0.04859,0.0531,0.00478,0.01457,0.00245,0.07375,0.0446,0.04993,0.06873,0.06016,0.0629,0.06523,0.00295,0.05792,0.05679,0.06814,0.01324,0.00169,0.05314,0.01861,0.0041,0.05323,0.02077,0.02166,0.02393,0.08766,0.02467,0.05928,0.06524,0.01441,0.05886,0.00945,0.08237,0.07083,0.00865,0.05499,0.00277,0.08693,0.0576,0.00244,0.02718,0.04885,0.06766,0.01611,0.01651,0.02242,0.0643,0.02746,0.04413,0.0485,0.0042,0.05841,0.08473,0.07913,0.06665,0.0484,0.03707,0.02062,0.0395,0.01634,Elk
