@RELATION dataset
 
 
@ATTRIBUTE m1 REAL
@ATTRIBUTE m2 REAL
@ATTRIBUTE m3 REAL
@ATTRIBUTE m4 REAL
@ATTRIBUTE m5 REAL
@ATTRIBUTE m6 REAL
@ATTRIBUTE m7 REAL
@ATTRIBUTE m8 REAL
@ATTRIBUTE m9 REAL
@ATTRIBUTE m10 REAL

@ATTRIBUTE class {Elk,Deer,Cattle}
 
@DATA

0.04271,0.03506,0.0476,0.0336,0.03674,0.02757,0.01675,0.00824,0.06203,0.02647,Deer
0.00599,0.04195,0.00684,0.05053,0.00757,0.00959,0.04392,0.04192,0.03251,0.01284,Deer
0.01648,0.06271,0.02348,0.06813,0.02597,0.0261,0.05498,0.04907,0.00588,0.00054,Elk
0.00804,0.0169,0.00859,0.0166,0.00351,0.00914,0.00679,0.01114,0.03103,0.01504,Elk
0.04956,0.01089,0.05176,0,0.03769,0.03474,0.01078,0.01671,0.08091,0.04327,Elk
0.01002,0.01031,0.00863,0.00948,0.00628,0.01096,0.01011,0.01849,0.04607,0.02278,Elk
0.00415,0.03286,0.01051,0.03932,0.00827,0.00684,0.03162,0.03096,0.00757,0.00369,Elk
0.04768,0.01061,0.0502,0.00294,0.03717,0.03259,0.00773,0.01472,0.07827,0.04232,Elk
0.03562,0.06287,0.04341,0.06616,0.04255,0.03224,0.05172,0.04489,0.0221,0.01167,Deer
0.00989,0.01385,0.01907,0.00948,0.01779,0.01226,0.00624,0.01134,0.03692,0.01886,Elk
0.00918,0.01505,0.01644,0.00846,0.01659,0.00667,0.00844,0.01247,0.03233,0.00849,Elk
0.0046,0.01166,0.00517,0.01854,0.00462,0.00719,0.0161,0.01905,0.02418,0.00821,Elk
0.03477,0.06082,0.04256,0.06404,0.04146,0.03066,0.04963,0.04291,0.02238,0.01104,Deer
0.01722,0.02039,0.02309,0.02448,0.01964,0.00761,0.01584,0.01976,0.03233,0.01001,Elk
0.01233,0.02977,0.01864,0.0275,0.01846,0.00999,0.01158,0.00356,0.0271,0.01423,Elk
0.00677,0.00907,0.01035,0.00621,0.00685,0.01196,0.01266,0.01568,0.04416,0.02035,Elk
0.03829,0.01259,0.04203,0.00736,0.03095,0.02326,0.00927,0.01215,0.06273,0.02135,Elk
0.00644,0.02114,0.00399,0.02725,0,0,0.02319,0.0266,0.03119,0.00771,Elk
0.06567,0.0271,0.06797,0.01742,0.0533,0.05052,0.0152,0.01525,0.09208,0.04883,Deer
0.00742,0.00805,0.00406,0.01479,0.00136,0.01026,0.02167,0.02995,0.04244,0.0225,Elk
0.0428,0.06877,0.05148,0.07026,0.05044,0.04262,0.05389,0.04517,0.02996,0.01083,Deer
0.01997,0.01017,0.02019,0.0018,0.0088,0.00827,0.01159,0.0175,0.05426,0.02917,Elk
0.03293,0.06958,0.04038,0.074,0.04155,0.03599,0.0605,0.05434,0.00969,0.00242,Deer
0.04754,0.01016,0.04995,0.00258,0.0364,0.03251,0.00727,0.01213,0.07839,0.04247,Elk
0.06938,0.03119,0.07201,0.02147,0.05655,0.05383,0.01796,0.01895,0.09617,0.05185,Deer
0.02704,0.01258,0.02874,0.02,0.01604,0.01103,0.01712,0.02222,0.05725,0.03145,Deer
0.06979,0.03722,0.07318,0.02878,0.05923,0.05431,0.01972,0.01846,0.0956,0.05173,Deer
0.03497,0.0629,0.04289,0.06623,0.04141,0.03256,0.05173,0.04433,0.01949,0.01029,Deer
0.05759,0.03379,0.06197,0.02812,0.04927,0.0424,0.0121,0.00639,0.08243,0.04294,Deer
0.0533,0.02641,0.0569,0.02005,0.04572,0.03739,0.00793,0.00412,0.07816,0.04287,Deer
0.03955,0.02017,0.04441,0.01303,0.0296,0.02654,0.00691,0.00442,0.07106,0.02683,Elk
0.00714,0.01189,0.01222,0.01324,0.00697,0.00767,0.009,0.01682,0.03285,0.0149,Elk
0.00457,0.0107,0.00554,0.01819,0.00156,0.00768,0.0202,0.02455,0.03272,0.0138,Elk
0.00696,0.04038,0.00189,0.04988,0.00285,0.01401,0.04734,0.04926,0.04299,0.02163,Deer
0.01389,0.0173,0.02002,0.019,0.01812,0.0069,0.01175,0.01458,0.02742,0.01328,Elk
0.02483,0.06756,0.03227,0.07369,0.03465,0.03088,0.06203,0.0567,0.00414,0.00138,Deer
0.01221,0.0117,0.01925,0.00302,0.01367,0.00901,0.01065,0.01149,0.03664,0.01355,Elk
0.04344,0.01217,0.0433,0.01833,0.02782,0.03258,0.02368,0.03229,0.07908,0.04045,Deer
0.05307,0.01126,0.05477,0.0094,0.03163,0.04114,0.01534,0.02028,0.08869,0.04069,Elk
0.06237,0.02699,0.06486,0.01879,0.0513,0.04681,0.01177,0.01275,0.0901,0.04812,Deer
0.0205,0.02765,0.02116,0.036,0.01261,0.00829,0.02355,0.01976,0.04868,0.02386,Deer
0.00403,0.01698,0.00359,0.0244,0.00204,0.00754,0.03112,0.0312,0.03743,0.01995,Elk
0.02892,0.01281,0.03277,0.01115,0.02289,0.01461,0.00952,0.01157,0.05825,0.02642,Elk
0.04614,0.02275,0.05133,0.01651,0.0371,0.03152,0.00432,0.00256,0.06994,0.03081,Deer
0.04737,0.0115,0.05001,0.00228,0.03709,0.03268,0.00874,0.01514,0.07864,0.04204,Elk
0.02491,0.06848,0.03166,0.0748,0.03491,0.03177,0.06442,0.06054,0.00385,0.00315,Cattle
0,0.01062,0.00721,0.01533,0.00749,0.00618,0.0203,0.02675,0.03785,0.01985,Elk
0.01633,0.05921,0.02229,0.06584,0.02683,0.02225,0.05658,0.05338,0.01918,0.01112,Cattle
0.00424,0.01889,0.00367,0.02456,0.00133,0.00818,0.01992,0.02387,0.0296,0.01506,Elk
0.02065,0.06179,0.0285,0.06779,0.02958,0.02565,0.05665,0.05257,0.01406,0.00691,Cattle
0.07063,0.03757,0.07424,0.02815,0.05918,0.05493,0.02108,0.01805,0.09464,0.05152,Deer
0.02064,0.0645,0.02789,0.07106,0.03036,0.02772,0.0612,0.05779,0.00428,0.00287,Cattle
0.00633,0.02863,0,0.0376,0.00351,0.01531,0.0381,0.04158,0.04258,0.02374,Deer
0.02091,0.06456,0.02782,0.07061,0.03121,0.02766,0.05823,0.05269,0.00834,0.00394,Cattle
0.00648,0.01331,0.00556,0.01662,0.00572,0.00663,0.01553,0.02025,0.02284,0.00445,Elk
0.0253,0.07102,0.03427,0.07729,0.02951,0.03423,0.06677,0.06286,0.00383,0.0003,Cattle
0.04418,0.02042,0.04863,0.01559,0.03548,0.02896,0,0.00425,0.06769,0.03314,Deer
0.01639,0.06482,0.02176,0.07147,0.02711,0.0284,0.05995,0.05484,0.00506,0.00229,Cattle
0.0558,0.02821,0.05912,0.0219,0.04663,0.04007,0.00807,0.00536,0.08023,0.04239,Deer
0.01324,0.05914,0.01941,0.0659,0.02443,0.02257,0.05658,0.05355,0.01706,0.00901,Cattle
0.03899,0.06529,0.04682,0.06809,0.04304,0.03565,0.05219,0.04402,0.03516,0.01741,Deer
0.02431,0.06728,0.03183,0.07349,0.03297,0.03062,0.06306,0.05905,0.00618,0.00229,Cattle
0.0427,0.0436,0.04883,0.04388,0.0412,0.02939,0.02731,0.0193,0.05604,0.02622,Deer
0.01825,0.0621,0.02548,0.06882,0.02841,0.02528,0.05947,0.0557,0.00761,0.00382,Cattle
0.02186,0.06241,0.02903,0.06775,0.03256,0.02688,0.05618,0.05149,0.00898,0.00242,Deer
0.01637,0.0605,0.02292,0.06718,0.02616,0.02353,0.0577,0.05446,0.01893,0.00685,Cattle
0.00724,0.01283,0.00367,0.02067,0.00218,0.01266,0.0203,0.02693,0.04173,0.01693,Elk
0.01588,0.06067,0.02315,0.06754,0.02632,0.02372,0.05868,0.05603,0.0028,0.00075,Cattle
0.01526,0.06178,0.02221,0.06841,0.02601,0.02516,0.05555,0.04994,0.00623,0.00034,Elk
0.01698,0.06265,0.02299,0.07001,0.026,0.02661,0.06121,0.05899,0.00372,0.00225,Cattle
0.00885,0,0.01006,0.01019,0.00385,0.01167,0.02023,0.02751,0.0465,0.02391,Elk
0.01553,0.061,0.02217,0.06811,0.02512,0.02438,0.05906,0.05519,0.01168,0.0047,Cattle
0.00457,0.01256,0.00943,0.01878,0.00398,0.00663,0.02233,0.02974,0.00894,0.00404,Elk
0.0377,0.08499,0.04353,0.09165,0.0437,0.04798,0.08169,0.07757,0.00293,0.0009,Cattle
0.04627,0.03362,0.05309,0.02388,0.02453,0.03925,0.02249,0.02278,0.07512,0.01361,Elk
0.02357,0.06814,0.03009,0.07475,0.03284,0.03134,0.06487,0.06146,0,0.00091,Cattle
0.03492,0.08222,0.04066,0.08897,0.04367,0.04542,0.07882,0.07488,0.00343,0.00021,Cattle
0.00707,0.00947,0.00779,0.01693,0.00949,0.00869,0.01304,0.01611,0.0246,0.00536,Elk
0.03399,0.08181,0.03959,0.08855,0.04236,0.04506,0.07825,0.07442,0.00393,0.00054,Cattle
0.04725,0.01068,0.04989,0.00214,0.03752,0.03234,0.00929,0.01454,0.07805,0.04246,Elk
0.02102,0.06518,0.02788,0.07164,0.03103,0.02829,0.06172,0.05831,0.0065,0.00267,Cattle
0.02363,0.03727,0.03031,0.04205,0.02373,0.01224,0.03168,0.02935,0.03664,0.01783,Deer
0.0298,0.07414,0.03409,0.08016,0.03832,0.03788,0.06888,0.0642,0.00698,0.00186,Deer
0.00478,0.01135,0.00416,0.01734,0.00505,0.00883,0.01907,0.02607,0.01514,0.00499,Elk
0.01555,0.05832,0.02345,0.065,0.02553,0.02144,0.05577,0.05294,0.02699,0.01477,Deer
0.0416,0.02435,0.04478,0.02248,0.03513,0.02552,0.00811,0,0.05616,0.02842,Deer
0.01886,0.02439,0.02554,0.01608,0.02127,0.00867,0.01167,0.01283,0.00425,0,Elk
0.01467,0.05923,0.02136,0.06596,0.02559,0.0225,0.05656,0.05362,0.00374,0.00299,Cattle
0.0144,0.05789,0.02011,0.06449,0.02467,0.02108,0.05519,0.05231,0.02117,0.01194,Cattle
0,0,0,0,0.03367,0,0,0,0,0.00926,Cattle
0.01661,0.06128,0.0237,0.06802,0.02507,0.02453,0.05763,0.05167,0.0076,0.00365,Cattle
0.01782,0.06196,0.02536,0.06848,0.02744,0.02504,0.05888,0.05564,0.01069,0.00648,Cattle
0,0,0,0,0,0,0,0,0,0.01371,Cattle
0.02415,0.07277,0.03019,0.08006,0.032,0.03616,0.06987,0.0661,0.01255,0.00536,Cattle
0.03432,0.08254,0.03972,0.08911,0.04346,0.04566,0.07866,0.07448,0.00371,0.00087,Cattle
0.01231,0.05691,0.01952,0.06406,0.02346,0.02003,0.05557,0.05044,0.02026,0.01047,Cattle
0.01728,0.06093,0.02473,0.06766,0.02749,0.02407,0.05854,0.05545,0.00852,0.00361,Cattle
0.02589,0.07229,0.03332,0.07893,0.03102,0.03541,0.06929,0.06561,0.00433,0.0009,Cattle
0.02132,0.0654,0.02941,0.07177,0.03004,0.02859,0.06188,0.05826,0.00433,0.00318,Cattle
0.02139,0.06408,0.02816,0.07032,0.03129,0.02738,0.06009,0.05642,0.00812,0.00309,Cattle
0.01851,0.06171,0.0257,0.06796,0.02888,0.02482,0.05819,0.05396,0.00427,0.00221,Cattle
0.02933,0.07408,0.03613,0.08024,0.03753,0.03761,0.0692,0.06509,0.0026,0.00081,Cattle
